Locid,City,Pass_2014,Pass_2013,Pass_2012,Pass_2011,Pass_2010,Pass_2009,Pass_2008,latitude,longitude,Rank,FAA-Region,ST,AirportName
ATL,Atlanta,46604273,45308407,45798928,44414121,43130585,42280868,43761280,33.3573,-84.5718,1,SO,GA,Hartsfield - Jackson Atlanta International
LAX,Los Angeles,34314197,32425892,31326268,30528737,28857755,27439897,28861477,33.9425,-118.4081,2,WP,CA,Los Angeles International
ORD,Chicago,33843426,32317835,32171795,31892301,32171831,31135732,33683991,41.9786,-87.9048,3,GL,IL,Chicago O'Hare International
DFW,Fort Worth,30804567,29038128,28022904,27518358,27100656,26663984,27219285,32.8968,-97.038,4,SW,TX,Dallas/Fort Worth International
JFK,New York,26244928,25036358,24520981,23664832,22934047,22710272,23620948,40.6398,-73.7789,5,EA,NY,John F Kennedy International
DEN,Denver,26000591,25496885,25799841,25667499,25241932,24013669,24117623,39.8617,-104.6732,6,NM,CO,Denver International
SFO,San Francisco  ,22770783,21704626,21284236,20056568,19359003,18467908,17280328,37.619,-122.3749,7,WP,CA,San Francisco International
CLT,Charlotte,21537725,21346601,20033816,19022535,18629181,17165376,16584780,35.214,-80.9431,8,SO,NC,Charlotte/Douglas International
LAS,Las Vegas,20620248,19946179,19959651,19872617,18996738,19445952,22537950,36.0801,-115.1523,9,WP,NV,McCarran International
PHX,Phoenix,20344867,19525109,19560870,19750306,18907171,18559647,20796173,33.4343,-112.0116,10,WP,AZ,Phoenix Sky Harbor International
MIA,Miami,,,,,,,,,,,,,
IAH,Houston,,,,,,,,,,,,,
EWR,Newark,,,,,,,,,,,,,
MCO,Orlando,,,,,,,,,,,,,
SEA,Seattle,,,,,,,,,,,,,
MSP,Minneapolis,,,,,,,,,,,,,
DTW,Detriot ,,,,,,,,,,,,,
BOS,Boston,,,,,,,,,,,,,
PHL,Philadelphia,,,,,,,,,,,,,
BWI,Glen Burnie,,,,,,,,,,,,,
